area_type,availability,location,size,bhk,total_sqft,bath,balcony,price,
Super built-up  Area,Ready To Move,Electronic City,3 BHK,3,"1,025.00",2,1,47,
Super built-up  Area,19-Dec,Yelahanka,4 BHK,4,"2,475.00",4,0,186,
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,3,"1,075.00",2,1,35,
Super built-up  Area,Ready To Move,Hebbal,3 BHK,3,"1,760.00",2,2,123,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3,"1,693.00",3,3,57.39,
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,3,"1,925.00",3,0,125,
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,2,700.00,2,1,36,
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2,"1,070.00",2,1,45.5,
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,3,"1,724.00",3,2,125,
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,3,"1,290.00",2,2,56.12,
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,"1,143.00",2,2,45,
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,2,"1,296.00",2,0,81,
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,3,"1,254.00",3,2,38,
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,1,600.00,1,0,38,
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,1,660.00,1,0,48,
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,2,"1,330.74",2,2,91.79,
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,8,600.00,9,0,200,
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,2,970.00,2,0,33,
Super built-up  Area,20-Sep,Whitefield,2 BHK,2,"1,459.00",2,1,94.82,
Plot  Area,Ready To Move,KR Puram,2 Bedroom,2,800.00,1,1,130,
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,2,869.00,2,1,36,
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,2,"1,270.00",2,1,50,
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,3,"1,670.00",3,1,99,
Built-up  Area,Ready To Move,Whitefield,3 BHK,3,"2,010.00",3,2,91,
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,2,"1,185.00",2,2,75,
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,3,"1,600.00",2,3,75,
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2,"1,200.00",2,2,44,
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,4,"3,210.00",2,0,192,2
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,2,"1,500.00",2,2,185,
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,6,"1,407.00",4,1,150,
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,2,840.00,2,2,45,
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,3,"4,395.00",3,2,240,
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,2,845.00,2,1,55,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,"5,700.00",5,3,650,
Built-up  Area,Ready To Move,Varthur,2 BHK,2,"1,160.00",2,2,44,
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,8,"3,000.00",8,0,140,
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,2,"1,100.00",2,1,62,
Super built-up  Area,18-Apr,Gunjur,2 BHK,2,"1,140.00",2,3,43,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,"1,220.00",2,1,57,
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,8,"1,350.00",7,0,85,
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2,"1,005.00",2,1,36.68,
Plot  Area,Ready To Move,Double Road,3 Bedroom,3,500.00,3,2,100,
Super built-up  Area,20-Aug,Begur Road,2 BHK,2,"1,358.00",2,1,80.58,
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,3,"1,569.00",3,1,101,
Super built-up  Area,18-Apr,Haralur Road,2 BHK,2,"1,240.00",2,1,70,
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,3,"2,089.00",3,2,140,
Super built-up  Area,Ready To Move,Kothannur,2 BHK,2,"1,206.00",2,1,48.23,
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,2,"1,150.00",2,3,40,
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,3,"2,511.00",3,3,205,
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,2,460.00,1,0,22,
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,6,"4,400.00",6,3,250,
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,3,"1,660.00",2,2,105,
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,4,"3,203.50",2,0,224.5,
Super built-up  Area,19-Mar,Yelahanka,2 BHK,2,"1,326.00",2,2,78,
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,3,"1,325.00",2,2,60.8,
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,3,"1,499.00",5,2,102,
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,6,"3,000.00",7,2,210,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,"1,665.00",3,2,88,
Super built-up  Area,17-Sep,Dasanapura,2 BHK,2,708.00,2,2,37,
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,2,"1,060.00",2,2,58.06,
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,6,710.00,6,3,160,
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,2,"1,000.00",2,2,70,
Super built-up  Area,18-Dec,Electronic City,2 BHK,2,"1,000.00",2,1,28.88,
Super built-up  Area,Ready To Move,Mysore Highway,3 BHK,3,"1,450.00",2,2,70,
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,4,"1,200.00",4,2,155,
Super built-up  Area,17-Aug,Thanisandra,2 BHK,2,"1,296.00",2,3,80,
Super built-up  Area,Ready To Move,Domlur,3 BHK,3,"1,540.00",3,2,90,
Plot  Area,Ready To Move,Kengeri,4 Bedroom,4,"2,894.00",4,1,245,
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,3,"1,330.00",2,1,48,
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,2,"1,200.00",2,1,65,
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,3,"1,200.00",3,1,90,
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,3,"2,502.00",3,3,138,
Built-up  Area,Ready To Move,Chandapura,2 BHK,2,650.00,1,1,17,
Plot  Area,Ready To Move,Kothanur,3 Bedroom,3,"2,400.00",2,1,150,
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,2,"1,007.00",2,2,43,
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,2,"1,200.00",2,2,50,
Super built-up  Area,Ready To Move,Peenya,2 BHK,2,966.00,2,2,49.9,
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,3,"1,630.00",2,1,98,
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3,"1,640.00",3,2,229,
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,2,782.00,2,2,55.68,
Super built-up  Area,19-Apr,Devanahalli,2 BHK,2,"1,260.00",2,2,66.78,
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,3,"1,800.00",3,3,120,
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,3,"1,413.00",2,2,75,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,116.00",2,1,51.91,
Super built-up  Area,Ready To Move,Electronic City,3 BHK,3,"1,530.00",2,1,45.9,
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,4,"3,700.00",4,1,225,
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,3,"2,497.00",3,2,140,
Super built-up  Area,Ready To Move,Kengeri,3 BHK,3,"1,540.00",2,3,64,
Super built-up  Area,18-Dec,Thanisandra,3 BHK,3,"1,436.00",3,1,74.75,
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,2,"1,100.00",2,2,75,
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,2,276.00,3,3,23,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"1,427.00",3,2,120,
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,3,"2,061.00",3,1,200,
Super built-up  Area,18-Mar,Hebbal,4 BHK,4,"5,611.50",4,0,477,
Built-up  Area,Ready To Move,Shampura,4 BHK,4,"2,650.00",4,2,150,
Super built-up  Area,22-Dec,Devanahalli,3 BHK,3,"1,282.00",2,2,68.52,
Built-up  Area,Ready To Move,Kadugodi,2 BHK,2,"1,050.00",2,1,34,
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,3,"1,600.00",3,2,65,
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,2,945.00,2,1,54,
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2,"1,500.00",2,1,78,
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,7,950.00,7,0,115,
Built-up  Area,Ready To Move,Peenya,3 BHK,3,"1,870.00",3,3,110,
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,3,"1,600.00",3,1,75,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,880.00,1,1,16.5,
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,4,"1,200.00",4,0,210,
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,3,"1,535.00",3,2,83,
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2,950.00,2,1,57,
Super built-up  Area,18-Aug,Devanahalli,2 BHK,2,"1,360.00",2,1,65,
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,2,"1,073.50",2,0,54.005,
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,3,"1,280.00",3,1,50.4,
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,3,"1,260.00",2,2,85.05,
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,8,"5,000.00",8,0,250,
Super built-up  Area,19-Dec,Yelahanka,5 BHK,5,"3,050.00",5,1,213,
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,3,"1,563.05",3,1,105,
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,2,"1,000.00",2,1,60,
Super built-up  Area,17-Jul,Anandapura,2 BHK,2,"1,167.00",2,1,43.76,
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,7,"4,000.00",7,2,225,
Super built-up  Area,Ready To Move,Kothanur,3 BHK,3,"1,828.00",3,0,110,
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,2,890.00,2,1,35,
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,3,"1,612.00",3,3,46.74,
Plot  Area,Ready To Move,Dinnur,6 Bedroom,6,"1,034.00",5,0,185,
Super built-up  Area,19-Apr,Mysore Road,3 BHK,3,"1,710.00",4,2,91.31,
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,2,957.00,2,1,58,
Super built-up  Area,18-May,Devarachikkanahalli,3 BHK,3,"1,250.00",2,3,44,
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,3,"2,795.00",4,0,235,
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,2,"1,125.00",2,2,50,
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,2,"1,020.00",2,1,30.6,
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,2,"1,200.00",2,2,50,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"1,735.00",3,3,135,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"2,050.00",3,1,145,
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,4,"3,750.00",4,0,760,
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,3,"1,350.00",2,3,48,
Super built-up  Area,18-May,Hosa Road,2 BHK,2,"1,063.00",2,1,32,
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,3,"1,904.00",3,1,150,
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4,"4,200.00",4,2,420,
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,3,"2,000.00",3,1,175,
Super built-up  Area,18-Dec,Sarjapur,2 BHK,2,"1,242.50",2,0,43.49,
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,3,"1,425.00",2,2,75,
Super built-up  Area,Ready To Move,Electronic City,3 BHK,3,"1,500.00",2,1,64.5,
Built-up  Area,Ready To Move,Electronic City,2 BHK,2,"1,060.00",2,1,60,
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,3,"1,470.00",2,2,70,
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,6,"1,300.00",6,0,99,
Super built-up  Area,Ready To Move,Attibele,1 BHK,1,450.00,1,1,11,
Super built-up  Area,18-Apr,Electronic City,2 BHK,2,"1,152.00",2,1,64.5,
Super built-up  Area,Ready To Move,Electronic City,3 BHK,3,"1,350.00",2,1,56,
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,3,"1,550.00",3,3,65,
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,3,"1,500.00",3,2,100,
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,5,600.00,3,2,85,
Plot  Area,Ready To Move,Nagavara,1 Bedroom,1,400.00,1,0,14,
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,1,705.00,1,2,67,
Built-up  Area,Ready To Move,Electronic City,2 BHK,2,770.00,1,1,36,
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,2,"1,242.00",2,3,51,
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,3,"1,700.00",3,2,155,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"2,144.00",3,2,145,
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,3,"1,704.00",3,2,110,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,"1,070.00",2,1,52,
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,3,"1,846.00",3,2,300,
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,2,"1,340.00",2,2,55.7,
Built-up  Area,Ready To Move,Electronic City,2 BHK,2,"1,025.00",2,1,46,
Super built-up  Area,Ready To Move,KR Puram,2 BHK,2,"1,277.50",2,0,56.8,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,"1,200.00",2,2,52,
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,4,"2,250.00",4,1,110,
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,3,"1,550.00",2,3,80,
Plot  Area,Ready To Move,Bellandur,4 Bedroom,4,"1,200.00",5,0,325,
Plot  Area,Ready To Move,Ejipura,7 Bedroom,7,"1,800.00",7,1,250,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,"1,200.00",2,2,60,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,"1,327.00",2,2,98,
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2,"1,186.00",2,2,58,
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,3,"1,783.00",3,1,115,
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,3,"1,400.00",3,2,56,
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,2,980.00,2,1,48,
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,2,"1,285.00",2,2,82,
Super built-up  Area,Ready To Move,Langford Town,3 BHK,3,912.00,2,1,70,
Built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,225.00",2,2,47.6,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,075.00",2,1,53,
Built-up  Area,Ready To Move,Kadugodi,3 BHK,3,"1,260.00",2,2,54,
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,3,"1,282.00",2,2,48.7,
Super built-up  Area,Ready To Move,Kogilu,3 BHK,3,"1,909.00",3,2,88,
Super built-up  Area,Ready To Move,Panathur,2 BHK,2,"1,359.00",2,1,87,
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,2,"1,207.00",2,2,43.5,
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,4,"1,736.00",6,0,190,
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,4,"2,850.00",4,1,428,
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,3,"1,595.00",3,2,65,
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,3,"1,798.00",3,2,89,
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,3,"1,475.00",3,2,78.29,
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,3,"1,580.00",3,3,100,
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,2,"1,295.00",2,1,65,
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,6,"3,600.00",6,0,141,
Super built-up  Area,Ready To Move,Electronic City,1 BHK,1,589.00,1,1,27,
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,3,"1,415.00",3,3,78,
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,3,"1,787.00",3,2,98.29,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"1,787.00",3,2,125,
Super built-up  Area,Ready To Move,Koramangala,3 BHK,3,"1,475.00",2,3,90,
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,4,"2,000.00",4,1,75.5,
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,2,984.00,2,1,44.28,
Super built-up  Area,19-Dec,Devanahalli,3 BHK,3,"1,630.00",2,0,74.82,
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,3,"2,405.00",4,2,260,
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,"1,080.00",2,2,72,
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,2,"1,500.00",2,1,115,
Super built-up  Area,Ready To Move,Hebbal,3 BHK,3,"1,900.00",3,2,119,
Super built-up  Area,19-Aug,Dommasandra,2 BHK,2,805.00,2,1,22.14,
Super built-up  Area,Ready To Move,Budigere,2 BHK,2,"1,153.00",2,2,56.4,
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,2,"1,148.00",2,2,60,
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,2,"1,110.00",2,2,55,
Built-up  Area,Ready To Move,Electronic City,2 BHK,2,"1,100.00",2,2,42,
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,2,"1,290.00",2,2,110,
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,3,"1,500.00",2,1,65,
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,2,"1,080.00",2,2,39,
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,3,"1,933.00",3,1,129,
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,5,"3,500.00",5,2,150,
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,2,"1,060.00",2,2,60,
Super built-up  Area,18-Aug,Chandapura,1 BHK,1,645.00,1,1,16.45,
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,8,"2,600.00",8,2,180,
Super built-up  Area,18-Sep,Chandapura,1 BHK,1,645.00,1,1,16.45,
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,3,"1,644.00",3,3,84,
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,2,"1,285.00",2,3,72.5,
Plot  Area,Ready To Move,Electronic City,3 Bedroom,3,"1,200.00",3,1,90,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,910.00,2,1,40,
Super built-up  Area,Ready To Move,Kothanur,3 BHK,3,"1,577.00",3,1,70,
Plot  Area,17-May,Meenakunte,3 Bedroom,3,"4,050.00",3,2,280,
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,3,"2,420.00",3,2,185,
Super built-up  Area,Ready To Move,Chandapura,2 BHK,2,800.00,1,1,20,
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,2,"1,060.00",2,2,55,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,"1,270.00",2,2,93,
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,2,900.00,2,2,22.5,
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,2,"1,280.00",2,1,69,
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,4,"1,200.00",2,0,95,
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,025.00",2,2,36,
Super built-up  Area,17-Jun,Electronic City,2 BHK,2,"1,108.00",2,1,63,
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,5,"1,200.00",5,0,170,
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,3,"3,045.00",3,2,170,
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,4,"2,900.00",3,2,300,
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,3,"1,500.00",3,2,75.5,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,"1,295.00",2,2,43.9,
Super built-up  Area,Ready To Move,Budigere,2 BHK,2,"1,162.00",2,1,59.9,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,035.00",2,2,49.2,
Built-up  Area,Ready To Move,Attibele,4 Bedroom,4,"1,600.00",4,0,52.8,
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,3,"1,464.00",3,2,46,
Super built-up  Area,18-Oct,Hennur Road,3 BHK,3,"1,866.00",2,2,61.58,
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,2,700.00,1,1,26,
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,3,"1,804.00",3,2,120,
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,2,913.00,2,1,32,
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,3,"1,868.00",3,2,131,
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,2,883.00,2,1,45,
Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,2,900.00,2,1,110,
Super built-up  Area,Ready To Move,Kogilu,3 BHK,3,"1,664.00",2,3,73.95,
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,3,"2,026.00",3,2,132,
Super built-up  Area,Ready To Move,Balagere,2 BHK,2,"1,210.00",2,1,80.9,
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,4,"4,111.00",4,2,250,
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,3,"1,762.00",3,3,91.45,
Super built-up  Area,Ready To Move,Jigani,3 BHK,3,"1,252.00",3,3,55,
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,2,861.00,2,1,34.5,
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,3,"1,420.00",2,1,100,
Plot  Area,Ready To Move,Srirampura,6 Bedroom,6,"1,450.00",6,0,250,
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,3,"1,490.00",3,1,78.8,
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,3,"1,075.00",2,1,46,
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,3,"1,425.00",2,2,94,
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,2,"1,200.00",2,1,40,
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,3,"1,280.00",2,2,56,
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,2,"1,084.00",2,2,50,
Super built-up  Area,18-Jul,Chandapura,2 BHK,2,"1,015.00",2,2,25.88,
Super built-up  Area,21-May,Kanakpura Road,2 BHK,2,"1,017.00",2,1,51.25,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,"1,027.00",2,2,44,
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,2,"1,069.00",2,2,45,
Super built-up  Area,Ready To Move,Hebbal,2 BHK,2,"1,349.00",2,1,98.2,
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,2,"1,005.00",2,1,50,
Super built-up  Area,Ready To Move,Jakkur,2 BHK,2,"1,417.00",2,3,75,
Plot  Area,18-Jan,TC Palaya,3 Bedroom,3,"1,475.00",3,1,98,
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,2,950.00,2,2,47,
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,4,"2,000.00",4,0,120,
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,3,880.00,3,1,140,
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,4,"1,863.00",3,2,104,
